"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Iredell County, NC"	"37097"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iredell County, NC"	"37097"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Iredell County, NC"	"37097"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Iredell County, NC"	"37097"					134	849685	15.77	1.36	16.36	1.44
	"Jackson County, NC"	"37099"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2176	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	164	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	444	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	8452	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Jackson County, NC"	"37099"	"Hispanic or Latino"	"2135-2"			Suppressed	11236	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	18579	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2154	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	5254	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, NC"	"37099"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	31	171156	18.11	3.25	22.74	4.23
"Total"	"Jackson County, NC"	"37099"	"Not Hispanic or Latino"	"2186-2"			40	197143	20.29	3.21	24.83	4.05
	"Jackson County, NC"	"37099"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, NC"	"37099"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, NC"	"37099"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, NC"	"37099"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Jackson County, NC"	"37099"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Jackson County, NC"	"37099"					40	208379	19.20	3.04	23.28	3.79
	"Johnston County, NC"	"37101"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4869	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1917	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	8710	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	109476	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Johnston County, NC"	"37101"	"Hispanic or Latino"	"2135-2"			Suppressed	124972	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4232	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	7931	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	147483	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnston County, NC"	"37101"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	96	648590	14.80	1.51	15.12	1.58
"Total"	"Johnston County, NC"	"37101"	"Not Hispanic or Latino"	"2186-2"			103	808236	12.74	1.26	12.93	1.30
	"Johnston County, NC"	"37101"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnston County, NC"	"37101"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnston County, NC"	"37101"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnston County, NC"	"37101"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Johnston County, NC"	"37101"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Johnston County, NC"	"37101"					105	933208	11.25	1.10	11.44	1.13
	"Jones County, NC"	"37103"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	113	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	183	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	1927	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Jones County, NC"	"37103"	"Hispanic or Latino"	"2135-2"			Suppressed	2227	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	316	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	253	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	15661	Suppressed	Suppressed	Suppressed	Suppressed
	"Jones County, NC"	"37103"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	13	31289	Unreliable	11.52	Unreliable	12.86
"Total"	"Jones County, NC"	"37103"	"Not Hispanic or Latino"	"2186-2"			14	47519	Unreliable	7.87	Unreliable	9.24
	"Jones County, NC"	"37103"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jones County, NC"	"37103"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jones County, NC"	"37103"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jones County, NC"	"37103"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Jones County, NC"	"37103"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Jones County, NC"	"37103"					14	49746	Unreliable	7.52	Unreliable	8.70
	"Lee County, NC"	"37105"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2710	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	994	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	3186	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	50985	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Lee County, NC"	"37105"	"Hispanic or Latino"	"2135-2"			Suppressed	57875	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1630	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3543	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	59578	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, NC"	"37105"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	40	177008	22.60	3.57	25.72	4.12
"Total"	"Lee County, NC"	"37105"	"Not Hispanic or Latino"	"2186-2"			47	241759	19.44	2.84	21.47	3.18
	"Lee County, NC"	"37105"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, NC"	"37105"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, NC"	"37105"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, NC"	"37105"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Lee County, NC"	"37105"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Lee County, NC"	"37105"					49	299634	16.35	2.34	17.76	2.56
	"Lenoir County, NC"	"37107"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1003	Suppressed	Suppressed	Suppressed	Suppressed
	"Lenoir County, NC"	"37107"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	696	Suppressed	Suppressed	Suppressed	Suppressed
	"Lenoir County, NC"	"37107"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1926	Suppressed	Suppressed	Suppressed	Suppressed
	"Lenoir County, NC"	"37107"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	18483	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Lenoir County, NC"	"37107"	"Hispanic or Latino"	"2135-2"			Suppressed	22108	Suppressed	Suppressed	Suppressed	Suppressed
	"Lenoir County, NC"	"37107"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	999	Suppressed	Suppressed	Suppressed	Suppressed
	"Lenoir County, NC"	"37107"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2245	Suppressed	Suppressed	Suppressed	Suppressed
	"Lenoir County, NC"	"37107"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	18	118852	Unreliable	3.57	Unreliable	3.69
	"Lenoir County, NC"	"37107"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	19	145491	Unreliable	3.00	Unreliable	3.26
"Total"	"Lenoir County, NC"	"37107"	"Not Hispanic or Latino"	"2186-2"			38	267587	14.20	2.30	14.17	2.44
	"Lenoir County, NC"	"37107"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lenoir County, NC"	"37107"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lenoir County, NC"	"37107"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lenoir County, NC"	"37107"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Lenoir County, NC"	"37107"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Lenoir County, NC"	"37107"					38	289695	13.12	2.13	13.06	2.23
	"Lincoln County, NC"	"37109"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	572	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	333	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1401	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	26560	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Lincoln County, NC"	"37109"	"Hispanic or Latino"	"2135-2"			Suppressed	28866	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1208	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3083	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	23415	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NC"	"37109"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	53	347603	15.25	2.09	16.89	2.38
"Total"	"Lincoln County, NC"	"37109"	"Not Hispanic or Latino"	"2186-2"			56	375309	14.92	1.99	16.44	2.25
	"Lincoln County, NC"	"37109"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lincoln County, NC"	"37109"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lincoln County, NC"	"37109"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lincoln County, NC"	"37109"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Lincoln County, NC"	"37109"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Lincoln County, NC"	"37109"					57	404175	14.10	1.87	15.29	2.07
	"McDowell County, NC"	"37111"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	984	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	472	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	810	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	10961	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"McDowell County, NC"	"37111"	"Hispanic or Latino"	"2135-2"			Suppressed	13227	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	806	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1927	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	9301	Suppressed	Suppressed	Suppressed	Suppressed
	"McDowell County, NC"	"37111"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	43	199888	21.51	3.28	20.85	3.33
"Total"	"McDowell County, NC"	"37111"	"Not Hispanic or Latino"	"2186-2"			44	211922	20.76	3.13	20.20	3.18
	"McDowell County, NC"	"37111"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"McDowell County, NC"	"37111"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"McDowell County, NC"	"37111"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"McDowell County, NC"	"37111"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"McDowell County, NC"	"37111"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"McDowell County, NC"	"37111"					44	225149	19.54	2.95	19.15	3.00
	"Macon County, NC"	"37113"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	475	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	151	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	497	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	10552	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Macon County, NC"	"37113"	"Hispanic or Latino"	"2135-2"			Suppressed	11675	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	868	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1424	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	3028	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, NC"	"37113"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	28	154046	18.18	3.44	20.81	4.11
"Total"	"Macon County, NC"	"37113"	"Not Hispanic or Latino"	"2186-2"			29	159366	18.20	3.38	20.84	4.03
	"Macon County, NC"	"37113"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Macon County, NC"	"37113"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Macon County, NC"	"37113"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Macon County, NC"	"37113"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Macon County, NC"	"37113"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Macon County, NC"	"37113"					30	171041	17.54	3.20	19.95	3.76
	"Madison County, NC"	"37115"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	153	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	19	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	109	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	2447	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Madison County, NC"	"37115"	"Hispanic or Latino"	"2135-2"			Suppressed	2728	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	350	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	585	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	2014	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NC"	"37115"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	13	100727	Unreliable	3.58	Unreliable	3.89
"Total"	"Madison County, NC"	"37115"	"Not Hispanic or Latino"	"2186-2"			13	103676	Unreliable	3.48	Unreliable	3.80
	"Madison County, NC"	"37115"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, NC"	"37115"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, NC"	"37115"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, NC"	"37115"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Madison County, NC"	"37115"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Madison County, NC"	"37115"					13	106404	Unreliable	3.39	Unreliable	3.67
	"Martin County, NC"	"37117"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	163	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	224	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	616	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	3368	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Martin County, NC"	"37117"	"Hispanic or Latino"	"2135-2"			Suppressed	4371	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	372	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	580	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	50070	Suppressed	Suppressed	Suppressed	Suppressed
	"Martin County, NC"	"37117"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	10	61078	Unreliable	5.18	Unreliable	6.63
"Total"	"Martin County, NC"	"37117"	"Not Hispanic or Latino"	"2186-2"			11	112100	Unreliable	2.96	Unreliable	3.94
	"Martin County, NC"	"37117"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Martin County, NC"	"37117"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Martin County, NC"	"37117"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Martin County, NC"	"37117"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Martin County, NC"	"37117"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Martin County, NC"	"37117"					11	116471	Unreliable	2.85	Unreliable	3.74
	"Mecklenburg County, NC"	"37119"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	25966	Suppressed	Suppressed	Suppressed	Suppressed
	"Mecklenburg County, NC"	"37119"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	9780	Suppressed	Suppressed	Suppressed	Suppressed
	"Mecklenburg County, NC"	"37119"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	72388	Suppressed	Suppressed	Suppressed	Suppressed
	"Mecklenburg County, NC"	"37119"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	19	557573	Unreliable	0.78	Unreliable	0.79
"Total"	"Mecklenburg County, NC"	"37119"	"Hispanic or Latino"	"2135-2"			21	665707	3.15	0.69	3.13	0.70
	"Mecklenburg County, NC"	"37119"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	19016	Suppressed	Suppressed	Suppressed	Suppressed
	"Mecklenburg County, NC"	"37119"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	301999	Suppressed	Suppressed	Suppressed	Suppressed
	"Mecklenburg County, NC"	"37119"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	154	1647107	9.35	0.75	8.98	0.73
	"Mecklenburg County, NC"	"37119"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	396	2535429	15.62	0.78	15.13	0.77
